date	Commercial Services	Communications	Consumer Durables	Consumer Non-Durables	Consumer Services	Distribution Services	Electronic Technology	Energy Minerals	Finance	Health Services	Health Technology	Industrial Services	Non-Energy Minerals	Process Industries	Producer Manufacturing	Retail Trade	Technology Services	Transportation	Utilities
2026-02-03			1.0	1.0			0.5			0.5						1.0	1.0		
2026-02-04							0.5	-0.5	0.0	-1.0									
2026-02-05		0.0	-1.0	-1.0			0.0	-1.0	-0.5										
2026-02-06			0.5				0.0	-1.0	0.0						-1.0				0.0
2026-02-07																	0.0		
2026-02-08				1.0					-1.0										
2026-02-09		-1.0					1.0			1.0						1.0	1.0	0.0	
2026-02-10				-1.0	1.0		1.0	-1.0	-1.0			1.0			0.0				
2026-02-11		1.0		0.0			-1.0		1.0				1.0				1.0		
2026-02-12	-1.0		-1.0	1.0			1.0	-1.0							1.0				1.0
2026-02-13			1.0				-1.0	0.0	-1.0	1.0		-1.0				-1.0		-1.0	
2026-02-14			-1.0	1.0			-1.0		1.0										
2026-02-15				0.5			0.0												0.0
2026-02-16			1.0			0.0	0.0		-1.0								-1.0		
2026-02-17				1.0			1.0	0.0	0.0				-1.0			-1.0	0.0		
2026-02-18		0.0	1.0				0.0	-1.0	0.0		0.0								
2026-02-19				1.0			0.0	-1.0								0.5			
2026-02-20							0.5	-1.0	-1.0						-1.0	1.0		1.0	
2026-02-21								-1.0											
2026-02-22						0.0													
2026-02-23							0.0			1.0	-1.0				-1.0		1.0		
2026-02-24		1.0					0.3333333333333333		1.0							1.0	1.0		
2026-02-25			0.0				0.25										1.0		
2026-02-26					0.0		0.5								1.0	1.0			1.0
2026-02-27			1.0	-1.0			-1.0		-1.0						0.0		0.5		
2026-02-28								-1.0	1.0								0.0		
2026-03-01								-1.0									1.0		
2026-03-02							0.6666666666666666	0.3333333333333333	0.0										
2026-03-03			-1.0				1.0		0.0	1.0		1.0				0.0			
2026-03-04				1.0			0.0		0.0								0.5		
2026-03-05							0.6666666666666666	1.0											
2026-03-06	0.0						0.5	0.0	0.0								0.0	0.0	
2026-03-07							0.0	-1.0	-1.0						1.0				
2026-03-08								1.0											
2026-03-09							1.0	-0.3333333333333333	0.0					1.0					
2026-03-10							1.0	0.5							-0.5		-0.5		
2026-03-11					-1.0		1.0	-1.0	0.5						1.0				
2026-03-12			1.0	0.0			0.0	0.0				1.0	1.0				0.0		
2026-03-13			1.0		0.0		0.5	-1.0	0.0							1.0			
2026-03-14		-1.0		0.0					0.0								1.0		
2026-03-15								-1.0	0.0				0.0						
2026-03-16				1.0			1.0										1.0		
2026-03-17				0.0				-1.0	0.0						1.0		0.0		
2026-03-18		0.0				0.0	0.0	-1.0	0.5									-1.0	
2026-03-19							1.0	-1.0	-0.5							-1.0	0.0		
2026-03-20			1.0	-1.0			-1.0	-1.0	0.5							0.5			
2026-03-21				1.0															
2026-03-22				1.0				0.0										0.0	
2026-03-23			-1.0	1.0			1.0	-0.5	0.0	0.0					1.0				
2026-03-24							0.5	0.0	1.0										
2026-03-25		-0.3333333333333333					1.0	-1.0					0.0						
2026-03-26				0.0	0.0		0.3333333333333333		1.0									1.0	
2026-03-27			0.0				1.0		0.0	1.0							-1.0	-1.0	
2026-03-28									1.0										
2026-03-29				1.0	1.0			0.0			1.0						-1.0	0.0	
2026-03-30						-1.0	0.0	0.0	0.0						0.0			-1.0	
2026-03-31			0.5	0.0			0.5			1.0							0.5		
2026-04-01			0.0				0.0	-1.0	1.0		1.0				1.0			0.0	-1.0
2026-04-02			0.0	0.0		1.0		-1.0	1.0						0.0				
2026-04-03							0.25	-1.0	0.0							-1.0		-1.0	
2026-04-04							0.0	-1.0											
2026-04-05			-1.0		0.0			-1.0	1.0									-1.0	
2026-04-06				1.0				0.0	0.0		1.0				-1.0		0.0		0.0
2026-04-07						0.0	0.3333333333333333	1.0	1.0						0.0				
2026-04-08			-1.0			-1.0	0.6666666666666666	-1.0	-1.0									1.0	
2026-04-09			0.0					0.0	1.0			0.0			0.0	1.0	0.0	0.0	
2026-04-10				-1.0			0.5	-0.5		1.0		1.0					0.0		
2026-04-11				1.0			0.0			-1.0								-1.0	
2026-04-12									1.0										
2026-04-13				0.0			1.0	0.0	0.5	1.0								1.0	
2026-04-14		1.0					1.0	0.0		1.0	1.0								
2026-04-15			1.0				1.0	-1.0	0.0							-1.0		-1.0	
2026-04-16				0.0			1.0	-1.0	0.0								1.0		
2026-04-17			1.0				1.0	1.0	0.0							0.5			
2026-04-18				1.0				-1.0								0.0			
2026-04-19						0.0	0.0	-1.0									0.0		
2026-04-20							1.0	0.0	0.0	1.0					1.0	0.0			
2026-04-21			0.0			0.0	1.0	-1.0	0.5										
2026-04-22			1.0				0.5		0.5						1.0				0.0
2026-04-23				1.0			1.0	1.0		1.0					0.0		0.0		
2026-04-24			0.0	1.0			1.0	1.0	0.0								-1.0		
2026-04-25																	-1.0		
2026-04-26																			
2026-04-27			1.0	0.0	-0.6666666666666666		0.2	0.8	0.6	1.0	1.0				0.0			0.0	
2026-04-28			-1.0	1.0			0.0	1.0							-1.0		0.0	-1.0	
2026-04-29							0.0	0.5	0.0						1.0	0.0			
2026-04-30				1.0			0.0			1.0					-1.0				
2026-05-01				1.0			1.0	-1.0		-1.0								0.0	
2026-05-02																			
2026-05-03							1.0												
2026-05-04				-0.5			1.0	0.0	0.0								0.0	0.0	
